dt,AverageTemperature,AverageTemperatureUncertainty,Country
1743-11-01,-1.794,2.64,Iceland
1743-12-01,1.0,1.0,Iceland
1744-01-01,1.0,1.0,Iceland
1744-02-01,1.0,1.0,Iceland
1744-03-01,1.0,1.0,Iceland
1744-04-01,0.7140000000000001,3.079,Iceland
1744-05-01,2.529,2.4930000000000003,Iceland
1744-06-01,6.7410000000000005,2.544,Iceland
1744-07-01,8.203,2.488,Iceland
1744-08-01,1.0,1.0,Iceland
1744-09-01,4.0390000000000015,2.516,Iceland
1744-10-01,-0.3480000000000001,2.549,Iceland
1744-11-01,-1.69,2.485,Iceland
1744-12-01,-3.794,2.523,Iceland
1745-01-01,-3.992,2.521,Iceland
1745-02-01,-4.509,2.4730000000000003,Iceland
1745-03-01,-4.339,2.421,Iceland
1745-04-01,-1.38,2.439,Iceland
1745-05-01,1.0,1.0,Iceland
1745-06-01,1.0,1.0,Iceland
1745-07-01,1.0,1.0,Iceland
1745-08-01,1.0,1.0,Iceland
1745-09-01,1.0,1.0,Iceland
1745-10-01,1.0,1.0,Iceland
1745-11-01,1.0,1.0,Iceland
1745-12-01,1.0,1.0,Iceland
1746-01-01,1.0,1.0,Iceland
1746-02-01,1.0,1.0,Iceland
1746-03-01,1.0,1.0,Iceland
1746-04-01,1.0,1.0,Iceland
1746-05-01,1.0,1.0,Iceland
1746-06-01,1.0,1.0,Iceland
1746-07-01,1.0,1.0,Iceland
1746-08-01,1.0,1.0,Iceland
1746-09-01,1.0,1.0,Iceland
1746-10-01,1.0,1.0,Iceland
1746-11-01,1.0,1.0,Iceland
1746-12-01,1.0,1.0,Iceland
1747-01-01,1.0,1.0,Iceland
1747-02-01,1.0,1.0,Iceland
1747-03-01,1.0,1.0,Iceland
1747-04-01,1.0,1.0,Iceland
1747-05-01,1.0,1.0,Iceland
1747-06-01,1.0,1.0,Iceland
1747-07-01,1.0,1.0,Iceland
1747-08-01,1.0,1.0,Iceland
1747-09-01,1.0,1.0,Iceland
1747-10-01,1.0,1.0,Iceland
1747-11-01,1.0,1.0,Iceland
1747-12-01,1.0,1.0,Iceland
1748-01-01,1.0,1.0,Iceland
1748-02-01,1.0,1.0,Iceland
1748-03-01,1.0,1.0,Iceland
1748-04-01,1.0,1.0,Iceland
1748-05-01,1.0,1.0,Iceland
1748-06-01,1.0,1.0,Iceland
1748-07-01,1.0,1.0,Iceland
1748-08-01,1.0,1.0,Iceland
1748-09-01,1.0,1.0,Iceland
1748-10-01,1.0,1.0,Iceland
1748-11-01,1.0,1.0,Iceland
1748-12-01,1.0,1.0,Iceland
1749-01-01,1.0,1.0,Iceland
1749-02-01,1.0,1.0,Iceland
1749-03-01,1.0,1.0,Iceland
1749-04-01,1.0,1.0,Iceland
1749-05-01,1.0,1.0,Iceland
1749-06-01,1.0,1.0,Iceland
1749-07-01,1.0,1.0,Iceland
1749-08-01,1.0,1.0,Iceland
1749-09-01,1.0,1.0,Iceland
1749-10-01,1.0,1.0,Iceland
1749-11-01,1.0,1.0,Iceland
1749-12-01,1.0,1.0,Iceland
1750-01-01,-2.449,2.419,Iceland
1750-02-01,-1.859,2.899,Iceland
1750-03-01,-1.364,3.147,Iceland
1750-04-01,-0.0259999999999999,2.42,Iceland
1750-05-01,3.3120000000000003,2.415,Iceland
1750-06-01,6.561,2.405,Iceland
1750-07-01,10.146999999999998,2.398,Iceland
1750-08-01,8.706,2.388,Iceland
1750-09-01,4.726000000000001,2.428,Iceland
1750-10-01,-1.5649999999999995,2.397,Iceland
1750-11-01,1.0,1.0,Iceland
1750-12-01,-4.613,2.486,Iceland
1751-01-01,-3.423,2.469,Iceland
1751-02-01,-5.801,2.688,Iceland
1751-03-01,-1.4880000000000002,2.551,Iceland
1751-04-01,-0.737,2.377,Iceland
1751-05-01,1.0,1.0,Iceland
1751-06-01,6.879,2.415,Iceland
1751-07-01,8.918,2.358,Iceland
1751-08-01,8.1,2.379,Iceland
1751-09-01,3.731,2.372,Iceland
1751-10-01,1.0,1.0,Iceland
1751-11-01,1.0,1.0,Iceland
1751-12-01,1.0,1.0,Iceland
1752-01-01,-5.212000000000001,2.787,Iceland
1752-02-01,1.0,1.0,Iceland
1752-03-01,-1.485,2.5610000000000004,Iceland
1752-04-01,-1.095,2.636,Iceland
1752-05-01,1.0,1.0,Iceland
1752-06-01,1.0,1.0,Iceland
1752-07-01,1.0,1.0,Iceland
1752-08-01,1.0,1.0,Iceland
1752-09-01,1.0,1.0,Iceland
1752-10-01,0.4590000000000001,2.597,Iceland
1752-11-01,-0.3759999999999999,2.388,Iceland
1752-12-01,-2.222,2.421,Iceland
1753-01-01,-3.928,5.381,Iceland
1753-02-01,-4.238,3.22,Iceland
1753-03-01,-1.009,3.367,Iceland
1753-04-01,-0.564,4.773,Iceland
1753-05-01,3.709,2.753,Iceland
1753-06-01,7.752999999999999,3.3510000000000004,Iceland
1753-07-01,8.880999999999998,2.891,Iceland
1753-08-01,7.892,5.823,Iceland
1753-09-01,4.788,2.532,Iceland
1753-10-01,1.6030000000000002,2.736,Iceland
1753-11-01,-2.403,3.214,Iceland
1753-12-01,-6.698,3.889,Iceland
